Timestamp	Time [s]	WL 1[nm]	
2025-09-09T12:58:02Z	168.00000	1554.18118	1537.13203	1524.06148
2025-09-09T12:58:02Z	168.00000	1554.24402	1537.24481	1524.11360
2025-09-09T12:58:02Z	168.00000	1554.50602	1537.71745	1524.32233
2025-09-09T12:58:02Z	168.00000	1554.71077	1538.06299	1524.48149
2025-09-09T12:58:02Z	168.00000	1554.89338	1538.39107	1524.62865
2025-09-09T12:58:02Z	168.00000	1555.09351	1538.75063	1524.78706
2025-09-09T12:58:02Z	169.00000	1555.25453	1539.02747	1524.91393
2025-09-09T12:58:03Z	169.00000	1555.40859	1539.30479	1525.03068
2025-09-09T12:58:03Z	169.00000	1555.57549	1539.59165	1525.15950
2025-09-09T12:58:03Z	169.00000	1555.71420	1539.84247	1525.25981
2025-09-09T12:58:03Z	169.00000	1555.83110	1540.06213	1525.35636
2025-09-09T12:58:03Z	169.00000	1555.95101	1540.26935	1525.44248
2025-09-09T12:58:03Z	169.00000	1556.07925	1540.48373	1525.54281
2025-09-09T12:58:03Z	169.00000	1556.16948	1540.65405	1525.61454
2025-09-09T12:58:03Z	169.00000	1556.27940	1540.83709	1525.69827
2025-09-09T12:58:03Z	169.00000	1556.35660	1540.98741	1525.76197
2025-09-09T12:58:03Z	170.00000	1556.44077	1541.12619	1525.81829
2025-09-09T12:58:04Z	170.00000	1556.51898	1541.27676	1525.88667
2025-09-09T12:58:04Z	170.00000	1556.59309	1541.38267	1525.93592
2025-09-09T12:58:04Z	170.00000	1556.64927	1541.49754	1525.98072
2025-09-09T12:58:04Z	170.00000	1556.73773	1541.64777	1526.03973
2025-09-09T12:58:04Z	170.00000	1556.77840	1541.72126	1526.07963
2025-09-09T12:58:04Z	170.00000	1556.83169	1541.83517	1526.12038
2025-09-09T12:58:04Z	170.00000	1556.85319	1541.87316	1526.13664
2025-09-09T12:58:04Z	171.00000	1556.88825	1541.91066	1526.15246
2025-09-09T12:58:05Z	171.00000	1556.91656	1541.96142	1526.17357
2025-09-09T12:58:05Z	171.00000	1556.92586	1541.99473	1526.18052
2025-09-09T12:58:05Z	171.00000	1556.93764	1542.01555	1526.18942
2025-09-09T12:58:05Z	171.00000	1556.95522	1542.04632	1526.20273
2025-09-09T12:58:05Z	171.00000	1556.96022	1542.05501	1526.20655
2025-09-09T12:58:05Z	171.00000	1556.96638	1542.06585	1526.21129
2025-09-09T12:58:05Z	171.00000	1556.97038	1542.07266	1526.21439
2025-09-09T12:58:05Z	172.00000	1556.97459	1542.07967	1526.21765
2025-09-09T12:58:06Z	172.00000	1556.97888	1542.08715	1526.22095
2025-09-09T12:58:06Z	172.00000	1556.98206	1542.09283	1526.22335
2025-09-09T12:58:06Z	172.00000	1556.98480	1542.09779	1526.22550
2025-09-09T12:58:06Z	172.00000	1555.68774	1539.84482	1525.23314
2025-09-09T12:58:06Z	172.00000	1555.25597	1539.05721	1524.89496
2025-09-09T12:58:06Z	172.00000	1555.03646	1538.66476	1524.72753
2025-09-09T12:58:06Z	172.00000	1554.87082	1538.37409	1524.59696
2025-09-09T12:58:06Z	172.00000	1554.70465	1538.06922	1524.46669
2025-09-09T12:58:06Z	172.00000	1554.58967	1537.87135	1524.37706
2025-09-09T12:58:06Z	173.00000	1554.46179	1537.65165	1524.27950
2025-09-09T12:58:07Z	173.00000	1554.31791	1537.39622	1524.16676
2025-09-09T12:58:07Z	173.00000	1554.22324	1537.21610	1524.09002
2025-09-09T12:58:07Z	173.00000	1554.21885	1537.20690	1524.08733
2025-09-09T12:58:07Z	173.00000	1554.21615	1537.20138	1524.08564
2025-09-09T12:58:07Z	173.00000	1554.21420	1537.19755	1524.08434
2025-09-09T12:58:07Z	173.00000	1554.21209	1537.19341	1524.08302
2025-09-09T12:58:07Z	173.00000	1554.21038	1537.18987	1524.08182
2025-09-09T12:58:07Z	173.00000	1554.20876	1537.18681	1524.08081
2025-09-09T12:58:07Z	173.00000	1554.20705	1537.18342	1524.07965
2025-09-09T12:58:07Z	174.00000	1554.20545	1537.18037	1524.07855
2025-09-09T12:58:08Z	174.00000	1554.20409	1537.17766	1524.07764
2025-09-09T12:58:08Z	174.00000	1554.20301	1537.17548	1524.07686
2025-09-09T12:58:08Z	174.00000	1554.20217	1537.17391	1524.07630
2025-09-09T12:58:08Z	174.00000	1554.20122	1537.17201	1524.07563
2025-09-09T12:58:08Z	174.00000	1554.20024	1537.17019	1524.07499
2025-09-09T12:58:08Z	174.00000	1554.19923	1537.16832	1524.07434
2025-09-09T12:58:08Z	174.00000	1554.19844	1537.16672	1524.07374
